編號,公告日期,品名,使用食品範圍及限量標準,使用限制
001,,"D-山梨醇 D-Sorbitol",本品可於各類食品中視實際需要適量使用。,"1.限於食品製 造或加工必須 時使用。 2. 嬰兒食品不得 使用。"
002,,"D-山梨醇液 70％ D-Sorbitol Solution 70％",本品可於各類食品中視實際需要適量使用。,"1. 限於食品製造 或加工必須時 使用。 2. 嬰兒食品不得 使用。"
003,,"D-木糖醇 D-Xylitol",本品可於各類食品中視實際需要適量使用。,"1. 限於食品製造 或加工必須時 使用。 2. 嬰兒食品不得 使用。"
004,,"甘草素 Glycyrrhizin",本品可於各類食品中視實際需要適量使用。,"不得使用於代 糖錠劑及粉末 。"
005,,"甘草酸鈉Trisodium Glycyrrhizinate",本品可於各類食品中視實際需要適量使用。,"不得使用於代 糖錠劑及粉末 。"
006,,"D-甘露醇 D-Mannitol",本品可於各類食品中視實際需要適量使用。,"1. 限於食品製造 或加工必須時 使用。 2. 嬰兒食品不得 使用。"
007,,"糖精 Saccharin","1. 本品可使用於瓜子、蜜餞及梅 粉；用量以Saccharin計為2.0g/kg以下。 2. 本品可使用於碳酸飲料；用量 以Saccharin 計為0.2g/kg 以下。3. 本品可使用於代糖錠劑及粉末 。 4. 本品可使用於特殊營養食品。 5. 本品可使用於膠囊狀、錠狀食 品；用量以Saccharin 計為1.2 g/kg以下。","使用於特殊營 養食品時，必 須事先獲得中 央主管機關之 核准。"
008,,"糖精鈉鹽 Sodium Saccharin","1. 本品可使用於瓜子、蜜餞及梅 粉；用量以 Saccharin 計為2.0g/kg 以下。 2. 本品可使用於碳酸飲料；用量 以Saccharin 計為0.2g/kg 以下。3. 本品可使用於代糖錠劑及粉末 。 4. 本品可使用於特殊營養食品。 5. 本品可使用於膠囊狀、錠狀食 品；用量以Saccharin 計為1.2 g/kg以下。","使用於特殊營 養食品時，必 須事先獲得中 央主管機關之 核准。"
009,,"環己基（代）磺醯胺酸鈉Sodium Cyclamate","1. 本品可使用於瓜子、蜜餞及梅 粉；用量以 Cyclamate 計為1.0g/kg 以下。 2. 本品可使用於碳酸飲料；用量 以Cyclamate 計為0.2g/kg 以下。3. 本品可使用於代糖錠劑及粉末 。 4. 本品可使用於特殊營養食品。 5. 本品可使用於膠囊狀、錠狀食 品；用量以Cyclamate 計為1.25g/kg 以下。","使用於特殊營 養食品時，必 須事先獲得中 央主管機關之 核准。"
010,,"環己基（代）磺醯胺酸鈣Calcium Cyclamate","1. 本品可使用於瓜子、蜜餞及梅 粉；用量以 Cyclamate 計為1.0g/kg 以下。 2. 本品可使用於碳酸飲料；用量 以Cyclamate 計為0.2g/kg 以下。3. 本品可使用於代糖錠劑及粉末 。 4. 本品可使用於特殊營養食品。 5. 本品可使用於膠囊狀、錠狀食 品；用量以Cyclamate 計為1.25g/kg 以下。","使用於特殊營 養食品時，必 須事先獲得中 央主管機關之 核准。"
