編號,公告日期,品名,使用食品範圍及限量標準,使用限制
001,,"鉀明礬 Potassium Alum","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
002,,"鈉明礬 Sodium Alum","鈉明礬 Sodium Alum 本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
003,,"燒鉀明礬 Burnt Potassium Alum","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
004,,"銨明礬 Ammonium Alum","本品可於各類食品中視實際 需要適量使用。", 
005,,"燒銨明礬 Burnt Ammonium Alum","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
006,,"氯化銨 Ammonium Chloride","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
007,,"酒石酸氫鉀 Potassium Bitartrate","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
008,,"碳酸氫鈉 Sodium Bicarbonate","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
009,,"碳酸銨 Ammonium Carbonate","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
010,,"碳酸氫銨 Ammonium Bicarbonate","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
011,,"碳酸鉀 Potassium Carbonate","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
012,,"合成膨脹劑 Baking Powder","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
013,,"酸式磷酸鋁鈉Sodium Aluminum Phosphate，Acidic","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
014,,"燒鈉明礬 Burnt SodiumAlum","本品可於各類食品中視實際 需要適量使用。","限於食品製造 或加工必須時 使用。"
