編號,公告日期,品名,使用食品範圍及限量標準,使用限制
001,"76.7. 22","氫氧化鈉 Sodium Hydroxide","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
002,"76.7. 22","氫氧化鉀 Potassium Hydroxide","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
003,"76.7. 22","氫氧化鈉溶液 Sodium Hydroxide So-lution","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
004,"76.7. 22","氫氧化鉀溶液 Potassium Hydroxide Solution","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
005,"76.7. 22","鹽酸 Hydrochloric Acid","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
006,"76.7. 22","硫酸 Sulfuric Acid","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
007,"76.7. 22","草酸 Oxalic Acid","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
008,"76.7. 22","離子交換樹脂 Ion-ExchangeResin","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
009,"76.7. 22","碳酸鉀 Potassium Carbonate","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
010,"81.4. 24","碳酸鈉（無水） Sodium Carbonate; ,Anhydrous s","本品可於各類食品 中視實際需要適量 使用。","最後製品完成 前必須中和或 去除。"
