編號,公告日期,品名,使用食品範圍及限量標準,使用限制
001,,"維生素Ａ粉末 Vitamin Ａ（dry form）  ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素A之總含量不得高於10000I.U.（3000μg R.E.）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素A之總含量不得高於1050μg R.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素A之總含量不得高於600μg R.E.。","限於補充食品 中不足之營養 素時使用。"
002,,"維生素Ａ油溶液 Vitamin A Oil","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素A之總含量不得高於10000I.U.（3000μg R.E.）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素A之總含量不得高於1050μg R.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素A之總含量不得高於600μg R.E.。","限於補充食品 中不足之營養 素時使用。"
003,,"維生素Ａ脂肪酸酯油溶液 Vitamin A Fatty Acid Ester，in Oil ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素A之總含量不得高於10000I.U.（3000μg R.E.）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素A之總含量不得高於1050μg R.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素A之總含量不得高於600μg R.E.。","限於補充食品 中不足之營養 素時使用。"
004,,"鹽酸硫胺明 （維生素Ｂ1胺），鹽酸色 Thiamine Hydrochloride（Vitamin B1）  ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｂ1之總含量不得高於50mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素 Ｂ1之總含量不得高於1.95mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｂ1之總含量不得高於0.9mg。","限於補充食品 中不足之營養 素時使用。"
005,,"硝酸硫胺明 （維生素B1, 硝酸 胺） Thiamine Mononitrate（VitaminB1）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｂ1之總含量不得高於50mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素 Ｂ1之總含量不得高於1.95mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｂ1之總含量不得高於0.9mg。","限於補充食品 中不足之營養 素時使用。"
006,,"苯甲醯硫胺明（維生素B1,苯甲醯胺） Dibenzoyl Thiamine（Vitamin B1）       ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｂ1之總含量不得高於50mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素 Ｂ1之總含量不得高於1.95mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｂ1之總含量不得高於0.9mg。","限於補充食品 中不足之營養 素時使用。"
007,,"鹽酸苯甲醯硫胺明       （維生素B1,鹽酸苯甲醯胺）Dibenzoyl Thiamine Hydrochloride（Vitamin B1）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｂ1之總含量不得高於50mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素 Ｂ1之總含量不得高於1.95mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｂ1之總含量不得高於0.9mg。","限於補充食品 中不足之營養 素時使用。"
008,,"核黃素     （維生素Ｂ2） Riboflavin  ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｂ2之總含量不得高於100mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素 Ｂ2之總含量不得高於2.25mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｂ2之總含量不得高於1.05mg。","限於補充食品 中不足之營養 素時使用。"
009,,"核黃素磷酸鈉（維生素B2） Riboflavin Phosphate，Sodium       （Vitamin B2）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｂ2之總含量不得高於100mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素 Ｂ2之總含量不得高於2.25mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｂ2之總含量不得高於1.05mg。","限於補充食品 中不足之營養 素時使用。"
010,,"鹽酸吡哆辛 （維生素Ｂ6） Pyridoxine Hydrochloride（Vitamin B6）  ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｂ6之總含量不得高於80mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素 Ｂ6之總含量不得高於2.1mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｂ6之總含量不得高於0.75mg。","限於補充食品 中不足之營養 素時使用。"
