編號,公告日期,品名,使用食品範圍及限量標準,使用限制
001,"76. 7.22","海藻酸鈉 Sodium Alginate",本品可使用於各類食品；用量為10g/kg以下。, 
002,"76. 7.22","海藻酸丙二醇 Propylene Glycol Alginate",本品可使用於各類食品；用量為10g/kg以下。, 
003,"76. 7.22","乾酪素 Casein",本品可於各類食品中視實際需要適量使用。, 
004,"76. 7.22","乾酪素鈉 Sodium Caseinate",本品可於各類食品中視實際需要適量使用。, 
005,"76. 7.22","乾酪素鈣 Calcium Caseinate",本品可於各類食品中視實際需要適量使用。, 
006,"76. 7.22","羧甲基纖維素鈉 SodiumCarboxymethyl Cellulose",本品可使用於各類食品；用量為20g/kg以下。, 
007,"76. 7.22","羧甲基纖維素鈣 Calcium CarboxymethylCellulose",本品可使用於各類食品；用量為20g/kg以下。, 
008,"89. 9.14","酸化製澱粉 Acid-Modified Starch",本品可於各類食品中視實際需要適量使用。, 
009,"76. 7.22","甲基纖維素 Methyl Cellulose",本品可使用於各類食品；用量為20g/kg以下。, 
010,"76. 7.22","多丙烯酸鈉 Sodium Polyacrylate","本品可使用於各類食品；用量為2.0g/kg 以下。", 
012,"76. 7.22","鹿角菜膠 Carrageenan",本品可於各類食品中視實際需要適量使用。, 
017,"76. 7.22","玉米糖膠 Xanthan Gum",本品可於各類食品中視實際需要適量使用。, 
018,"76. 7.22","海藻酸 Alginic Acid",本品可於各類食品中視實際需要適量使用。, 
019,"76. 7.22","海藻酸鉀 Potassium Alginate （Algin）",本品可於各類食品中視實際需要適量使用。, 
020,"76. 7.22","海藻酸鈣 Calcium Alginate（Algin）",本品可於各類食品中視實際需要適量使用。, 
021,"76. 7.22","海藻酸銨 Ammonium Alginate （Algin）",本品可於各類食品中視實際需要適量使用。, 
022,"76. 7.22","羥丙基纖維素 Hydroxypropyl Cellulose",本品可於各類食品中視實際需要適量使用。, 
023,"76. 7.22","羥丙基甲基纖維素 Hydroxypropyl Methylcellulose （Propylene Glycol Etherof Methycellulose）　",本品可於各類食品中視實際需要適量使用。,"▲ TOP"
024,"76. 7.22","聚糊精 Polydextrose",本品可於各類食品中視實際需要適量使用。,"一次食用量中本 品含量超過15公 克之食品，應顯 著標示「過量食 用對敏感者易引 起腹瀉」。"
025,"80. 11. 28","卡德蘭熱凝膠 Curdlan",本品可於各類食品中視實際需要適量使用。, 
026,"81. 3.21","結蘭膠 Gellan Gum",本品可於各類食品中視實際需要適量使用。, 
027,"89. 9.14","糊化澱粉 Gelatinized Starch(Alkaline Treated Starch)",本品可於各類食品中視實際需要適量使用。, 
028,"89. 9.14","丙基磷酸二澱粉 Hydroxypropyl Distarch Phosphate",本品可於各類食品中視實際需要適量使用。, 
029,"89. 9.14","氧化丙基澱粉 Oxidized Hydroxypropyl Starch 本品可於各類食品中視 實際需",本品可於各類食品中視實際需要適量使用。, 
030,"89. 9.14","漂白澱粉 Bleached Starch",本品可於各類食品中視實際需要適量使用。, 
031,"89. 9.14","氧化澱粉 Oxidized Starch",本品可於各類食品中視實際需要適量使用。, 
032,"89. 9.14","醋酸澱粉 Starch Acetate",本品可於各類食品中視實際需要適量使用。, 
033,"89. 9.14","乙醯化己二酸二澱粉 Acetylated Distarch Adipate",本品可於各類食品中視實際需要適量使用。, 
034,"89. 9.14","磷酸澱粉 Starch Phosphate",本品可於各類食品中視實際需要適量使用。, 
035,"89. 9.14","辛烯基丁二酸鈉澱粉 Starch Sodium OctenylSuccinate",本品可於各類食品中視實際需要適量使用。, 
036,"89. 9.14","磷酸二澱粉 Distarch Phosphate",本品可於各類食品中視實際需要適量使用。, 
037,"89. 9.14","磷酸化磷酸二澱粉 Phosphated Distarch Phosphate",本品可於各類食品中視實際需要適量使用。, 
038,"89. 9.14","乙醯化磷酸二澱粉 Acetylated Distarch Phosphate",本品可於各類食品中視實際需要適量使用。, 
039,"89. 9.14","丙基澱粉 Hydroxypropyl Starch",本品可於各類食品中視實際需要適量使用。, 
040,"89. 9.14","乙醯化甘油二澱粉 Acetylated Distarch Glycerol",本品可使用於各類食品；用量為20g/kg以下。, 
041,"89. 9.14","丁二醯甘油二澱粉 Succinyl Distarch Glycerol",本品可使用於各類食品；用量為20g/kg以下。, 
042,"89. 9.14","辛烯基丁二酸鋁澱粉 Starch Aluminum Octenyl Succinate",本品可使用於各類食品；用量為20g/kg以下。, 
043,"89. 9.14","丁二酸鈉澱粉 Starch Sodium Succinate",本品可使用於各類食品；用量為20g/kg以下。, 
044,"89. 9.14","丙醇氧二澱粉 Distarchoxy Propanol",本品可使用於各類食品；用量為20g/kg以下。, 
045,"89. 9.14","甘油二澱粉 Distarch Glycerol",本品可使用於各類食品；用量為20g/kg以下。, 
046,"89. 9.14","甘油丙基二澱粉 Hydroxypropyl Distarch Glycerol",本品可使用於各類食品；用量為20g/kg以下,
047,100.02.18,"乙基纖維素 Ethyl Cellulose",本品可於膠囊狀、錠狀食品中視實際需要適量使用。,
048,100.05.30,"乙基羥乙基纖維素 Ethyl Hydroxyethyl Cellulose",本品可於膠囊狀、錠狀食品中視實際需要適量使用。,
