編號,公告日期,品名,使用食品範圍及限量標準,使用限制
003,,"L-天門冬酸鈉Monosodium L-Aspartate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
004,,"反丁烯二酸 Fumaric Acid",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
005,,"反丁烯二酸一鈉 Monosodium Fumarate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
008,,"檸檬酸 Citric Acid",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
009,,"檸檬酸鈉 Sodium Citrate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
010,,"琥珀酸 Succinic Acid",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
011,,"琥珀酸一鈉 Monosodium Succinate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
012,,"琥珀酸二鈉 Disodium Succinate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
013,,"L-麩酸 L-Glutamic Acid",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
014,,"L-麩酸鈉Monosodium L-Glutamate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
015,,"酒石酸 Tartaric Acid",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
016,,"D&DL-酒石酸鈉 D&DL-Sodium Tartrate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
017,,"乳酸Lactic Acid",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
018,,"乳酸鈉 Sodium Lactate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
019,,"乳酸鈉液 Sodium Lactate Solution",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
020,,"醋酸 Acetic Acid",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
021,,"冰醋酸 Acetic Acid Glacial",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
022,,"DL-蘋果酸（羥基丁二酸）DL-Malic Acid （HydroxysuccinicAcid）",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用；嬰兒食品不得使用。
023,,"DL-蘋果酸鈉 Sodium DL-Malate",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用；嬰兒食品不得使用。
024,,"葡萄糖酸 Gluconic Acid",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
025,,"葡萄糖酸鈉 Sodium Gluconate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
026,,"葡萄糖酸液 Gluconic Acid Solution",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
027,,"葡萄糖酸-δ內酯 Glucono-δ-Lactone",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
028,,"胺基乙酸 Glycine",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
029,,"DL-胺基丙酸 DL-Alanine",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
030,,"5’-次黃嘌呤核苷磷酸二鈉Sodium 5’-Inosinate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
031,,"5’-鳥嘌呤核苷磷酸二鈉 Sodium 5’-Guanylate",本品可於各類食品中視實際需要適量使用,限於食品製造或加工必須時使用
032,,"磷酸 Phosphoric Acid","本品可使用於可樂及茶類飲料；用量為0.6g/kg以 下。",限於食品製造或加工必須時使用
036,,"氯化鉀 Potassium Chloride",本品可於各類食品中視實際需要適量使用,
037,,"檸檬酸鉀 Potassium Citrate",本品可用於各類食品中視實際需要適量使用。,
045,,"5’-核糖核苷酸鈣 Calcium 5’-Ribonucleotide",本品可於各種食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
052,,"咖啡因 Caffeine",本品可使用於飲料；用量以食品中咖啡因之總含量計為320mg/kg以下。,限作調味劑使用
"059 備註：本表為正面表列，非表列之食品品項，不得使用該食品添加物。",,"茶胺酸 L-Theanine","本品可於各類食品中；用量為1 g/kg以下。",限作調味劑使用
