編號,公告日期,品名,使用食品範圍及限量標準,使用限制
001,"76. 7. 22","乙酸乙酯 Ethyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
002,"76. 7. 22","乙酸丁酯 Butyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
003,"76. 7. 22","乙酸酯 Benzyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
004,"76. 7. 22","乙酸苯乙酯 Phenylethyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
005,"76. 7. 22","乙酸松油腦酯 Terpinyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
006,"76. 7. 22","乙酸桂皮酯 Cinnamyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
007,"76. 7. 22","乙酸香葉草酯 Geranyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
008,"76. 7. 22","乙酸香茅酯 Citronellyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
009,"76. 7. 22","乙酸沈香油酯 Linalyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
010,"76. 7. 22","乙酸異戊酯 Isoamyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
011,"76. 7. 22","乙酸環己酯 Cyclohexyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
012,"76. 7. 22","乙酸l-薄荷酯 l-Menthyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
013,"76. 7. 22","乙基香莢蘭醛 Ethyl Vanillin",本品可於各類食品中視實際需要適量使用。,限用為香料。
014,"76. 7. 22","乙醯乙酸乙酯 Ethyl Aceto-acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
015,"76. 7. 22","丁香醇 Eugenol",本品可於各類食品中視實際需要適量使用。,限用為香料。
016,"76. 7. 22","丁酸 Butyric Acid",本品可於各類食品中視實際需要適量使用。,限用為香料。
017,"76. 7. 22","丁酸乙酯 Ethyl Butyrate",本品可於各類食品中視實際需要適量使用。,限用為香料。
018,"76. 7. 22","丁酸丁酯 Butyl Butyrate",本品可於各類食品中視實際需要適量使用。,限用為香料。
019,"76. 7. 22","丁酸異戊酯 Isoamyl Butyrate",本品可於各類食品中視實際需要適量使用。,限用為香料。
020,"76. 7. 22","丁酸環己酯 Cyclohexyl Butyrate",本品可於各類食品中視實際需要適量使用。,限用為香料。
021,"76. 7. 22","十一酸內酯 Undecalactone",本品可於各類食品中視實際需要適量使用。,限用為香料。
022,"76. 7. 22","大茴香醛 Anisaldehyde",本品可於各類食品中視實際需要適量使用。,限用為香料。
023,"76. 7. 22","己酸乙酯 Ethyl Caproate",本品可於各類食品中視實際需要適量使用。,限用為香料。
024,"76. 7. 22","己酸丙烯酯 Allyl Caproate",本品可於各類食品中視實際需要適量使用。,限用為香料。
025,"76. 7. 22","壬酸內酯 Nonalactone",本品可於各類食品中視實際需要適量使用。,限用為香料。
026,"76. 7. 22","甲酸香葉草酯 Geranyl Formate",本品可於各類食品中視實際需要適量使用。,限用為香料。
027,"76. 7. 22","甲酸異戊酯 Isoamyl Formate",本品可於各類食品中視實際需要適量使用。,限用為香料。
028,"76. 7. 22","甲酸香茅酯 Citronellyl Formate",本品可於各類食品中視實際需要適量使用。,限用為香料。
029,"76. 7. 22","水楊酸甲酯 (冬綠油) Methyl Salicylate",本品可於各類食品中視實際需要適量使用。,限用為香料。
030,"76. 7. 22","丙酸乙酯 Ethyl Propionate",本品可於各類食品中視實際需要適量使用。,限用為香料。
031,"76. 7. 22","丙酸酯 Benzyl Propionate",本品可於各類食品中視實際需要適量使用。,限用為香料。
032,"76. 7. 22","丙酸異戊酯 Isoamyl Propionate",本品可於各類食品中視實際需要適量使用。,限用為香料。
033,"76. 7. 22","甲基β-荼酮 Methyl β-Na-Phthyl Ketone",本品可於各類食品中視實際需要適量使用。,限用為香料。
034,"76. 7. 22","N-甲基胺基苯甲酸甲酯 Methyl-N-Methyl Anthranilate",本品可於各類食品中視實際需要適量使用。,限用為香料。
035,"76. 7. 22","向日花香醛 Piperonal （Heliotro-pin）",本品可於各類食品中視實際需要適量使用。,限用為香料。
036,"76. 7. 22","庚酸乙酯 Ethyl Oenanthate",本品可於各類食品中視實際需要適量使用。,限用為香料。
037,"76. 7. 22","辛醛 Octyl Aldehyde",本品可於各類食品中視實際需要適量使用。,限用為香料。
038,"76. 7. 22","辛酸乙酯 Ethyl Caprylate",本品可於各類食品中視實際需要適量使用。,限用為香料。
039,"76. 7. 22","沈香醇 Linalool",本品可於各類食品中視實際需要適量使用。,限用為香料。
040,"76. 7. 22","苯甲醇 Benzyl Alcohol",本品可於各類食品中視實際需要適量使用。,限用為香料。
041,"76. 7. 22","苯甲醛 Benzaldehyde",本品可於各類食品中視實際需要適量使用。,限用為香料。
042,"76. 7. 22","苯乙酮 Acetophenone",本品可於各類食品中視實際需要適量使用。,限用為香料。
043,"76. 7. 22","苯乙酸乙酯 Ethyl Phenyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
044,"76. 7. 22","苯乙酸異丁酯 Isobutyl Phenyl Ace-tate",本品可於各類食品中視實際需要適量使用。,限用為香料。
045,"76. 7. 22","苯乙酸異戊酯 Isoamyl Phenyl Acetate",本品可於各類食品中視實際需要適量使用。,限用為香料。
