編號,公告日期,品名,使用食品範圍及限量標準,使用限制
001,,"氯化鈣 Calcium Chloride",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
002,,"氫氧化鈣 Calcium Hydroxide",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
003,,"硫酸鈣 Calcium Sulfate",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
004,,"葡萄糖酸鈣 Calcium Gluconate",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
005,,"檸檬酸鈣 Calcium Citrate",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
006,,"磷酸二氫鈣 Calcium Phosphate，Monobasic",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
007,,"磷酸氫鈣 Calcium Phosphate，Dibasic",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
008,,"磷酸氫鈣（無水） Calcium Phosphate，Dibasic(Anhydrous)",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
009,,"磷酸鈣 Calcium Phosphate，Tribasic",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
010,,"酸性焦磷酸鈣 Calcium Dihydrogen Pyrophosphate",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
011,,"甘油醇磷酸鈣 Calcium Glycerophosphate",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
012,,"乳酸鈣 Calcium Lactate",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
013,,"硬脂酸乳酸鈣 Calcium Stearoyl Lactylate",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
014,,"碳酸鈣 Calcium Carbonate","本品可於口香糖及泡泡糖中視實際需要適量使用。 本品可使用於口香糖及泡泡糖以外之其他食品；用量以Ca計為10g/kg以下。",限於食品製造或加工必須時使用。
015,,"碳酸銨 Ammonium Carbonate",本品可於各類食品中視為實際需要適量使用。,限於食品製造或加工必須時使用。
016,,"碳酸鉀 Potassium Carbonate",本品可於各類食品中視為實際需要適量使用。,限於食品製造或加工必須時使用。
017,,"碳酸鈉、無水碳酸 鈉 Sodium Carbonate ; Sodium Carbonate , Anhydrous",本品可於各類食品中視為實際需要適量使用。,限於食品製造或加工必須時使用。
018,,"碳酸鎂 Magnesium Carbonate",本品可使用於各類食品；用量為5g/kg以下。,限於食品製造或加工必須時使用。
019,,"硫酸銨 Ammonium Sulfate",本品可於各類食品中視為實際需要適量使用。,限於食品製造或加工必須時使用。
020,,"硫酸鈉 Sodium Sulfate",本品可於各類食品中視為實際需要適量使用。,限於食品製造或加工必須時使用。
021,,"硬脂酸鎂 Magnesium Stearate",本品可於各類食品中視為實際需要適量使用。,限於食品製造或加工必須時使用。
022,,"硫酸鎂 Magnesium Sulfate",本品可於各類食品中視為實際需要適量使用。,限於食品製造或加工必須時使用。
023,,"氯化鎂 Magnesium Chloride",本品可於各類食品中視為實際需要適量使用。,限於食品製造或加工必須時使用。
024,,"磷酸二氫銨 Ammonium Phosphate，Monobasic",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
025,,"磷酸氫二銨 Ammonium Phosphate，Dibasic",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
026,,"磷酸二氫鉀 Potassium Phosphate，Monobasic",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
027,,"磷酸氫二鉀 Potassium Phosphate，Dibasic",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
028,,"磷酸鉀 Potassium Phosphate，Tribasic",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
029,,"磷酸二氫鈉 Sodium Phosphate , Monobasic",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
030,,"磷酸二氫鈉（無水 ） Sodium Phosphate , Monobasic（Anhydrous）",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
031,,"磷酸氫二鈉Sodium Phosphate , Dibasic",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
032,,"磷酸氫二鈉（無水 ） Sodium Phosphate , Dibasic（Anhydrous）",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
033,,"磷酸鈉 Sodium Phosphate , Tribasic",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
034,,"磷酸鈉（無水） Sodium Phosphate , Tribasic（Anhydrous）",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
035,,"偏磷酸鉀 Potassium Metaphosphate",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
036,,"偏磷酸鈉 Sodium Metaphosphate",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
037,,"多磷酸鉀 Potassium Polyphosphate",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
038,,"多磷酸鈉 Sodium Polyphosphate",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
039,,"醋酸鈉； 醋酸鈉（無水） Sodium Acetate； Sodium Acetate（Anhydrous）",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
040,,"甘油 Glycerol",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
041,,"乳酸硬脂酸鈉 Sodium Stearyl 2-Lactylate",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
042,,"皂土 Bentonite",本品可使用於各類食品；於食品中殘留量應在5g/kg以下。,限於食品製造或加工必須時使用。
043,,"矽酸鋁 Aluminum Silicate","1.本品可於膠囊狀、錠狀食品中視實際需要適量使用。 2.本品可使用於其他各類食品；於食品中殘留量應在5 g/kg以下。",限於食品製造或加工必須時使用。
044,,"矽藻土 Diatomaceous Earth","1.本品可使用於各類食品；於食品中殘留量應在5 g/kg以下。 2.本品可使用於餐飲業用油炸油之助濾，用量為0.1%以下。","1.限於食品製造或加工必須時使用。 2.餐飲業使用於經油炸後直接供食用之油脂助濾時，應置於濾紙上供油炸油過濾使用，不得直接添加於油炸油中，並不得重複使用。"
046,,"滑石粉 Talc","1.本品可於膠囊狀、錠狀食品中視實際需要適量使用。 2.本品可使用於其他各類食品；於食品中殘留量應在5g/kg以下。但 口香糖及泡泡糖僅使用滑石粉而未同時使用皂土、矽酸鋁及矽藻土時為50g/kg以下。",限於食品製造或加工必須時使用。
047,,"L-半胱氨酸鹽酸鹽 L-Cysteine Monohydrochloride",本品可於麵包及果汁中視實際需要適量使用。,限於食品製造或加工必須時使用。
048,,"亞鐵氰化鈉 Sodium Ferrocyanide","本品可使用於食鹽；用量以Anhydrous Sodium Ferrocyanide計為13mg/kg以下。",限於食品製造或加工必須時使用。
049,,"矽酸鈣 Calcium Silicate","本品可使用於合成膨脹劑；用量為5％以下。 本品可使用於其他食品；用量為2.0％以下。",限於食品製造或加工必須時使用。
050,,"矽鋁酸鈉 Sodium Silicoaluminate",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
051,,"乙烯二胺四醋酸二 鈉或乙烯二胺四醋 酸二鈉鈣 EDTA Na2or EDTA CaNa2","本品可使用於非酒精性飲料；用量以EDTA CaNa2計為25ppm以下。 本品可使用於熱殺菌包裝食品；用量以 EDTA CaNa2計為250ppm以下 。 本品可使用於乳化食品及複合維生素調製品；用量以 EDTA CaNa2計 為150ppm以下。 本品可使用於為防止褐變之食品；用量以 EDTA CaNa2計為350ppm以 下（以乾重計）。","EDTA Na2於最終食 品完成前必須與鈣離子結合成 EDTA CaNa2。"
053,,"二氧化矽 Silicon Dioxide","1.本品可於膠囊狀、錠狀食品中視實際需要適量使用。 2.本品可使用於其他各類食品；用量為2.0％以下。",限於食品製造或加工必須時使用。
054,,"氧化鈣 Calcium Oxide",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
055,,"碳酸氫鉀 Potassium Bicarbonate",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
056,,"木松香甘油酯 Glycerol Ester ofWood Rosin","本品可於口香糖及泡泡糖中視實際需要適量使用。 本品可使用於飲料加工用之柑桔油；用量以飲料中之最終含量計為100ppm以下。",
057,,"石油蠟 Petroleum Wax","本品可於口香糖及泡泡糖中視實際需要適量使用。 本品可使用於香辛料微囊；用量為50％以下。",
058,,"米糠蠟 Rice Bran Wax","本品可於口香糖及泡泡糖中視實際需要適量使用。 本品可使用於糖果及鮮果菜；用量為50ppm以下。",使用於糖果及鮮果菜時限為表皮被膜用。
059,,"硬脂酸 Stearic Acid",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
060,,"己二酸 Adipic Acid",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
061,,"硫酸鋁 Aluminum Sulfate",本品可於各類食品中視實際需要適量使用。,限於食品製造中質地改良用。
062,,"珍珠岩粉 Perlite","1.本品可使用於各類食品；食品中殘留量應在5g/kg以下。 2.本品可使用於餐飲業用油炸油之助濾，用量為0.2%以下。",1.限於食品製造中助濾用。2.餐飲業使用於經油炸後直接供食用之油脂助濾時，應置於濾紙上供油炸油過濾使用，不得直接添加於油炸油中，並不得重複使用。
063,,"硬脂酸鈉 Sodium Stearate",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
