
第（十）類 　香料 
|香料 食品添加物使用範圍及限量暨規格標準                         |
|公告|編|品名                     |使用食品範圍及限|使用限制    |
|日期|號|                         |量              |            |
|76. |00|乙酸乙酯 Ethyl Acetate   |本品可於各類食品|限用為香料。|
|7.  |1 |                         |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |00|乙酸丁酯 Butyl Acetate   |本品可於各類食品|限用為香料。|
|7.  |2 |                         |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |00|乙酸酯 Benzyl Acetate    |本品可於各類食品|限用為香料。|
|7.  |3 |                         |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |00|乙酸苯乙酯 Phenylethyl   |本品可於各類食品|限用為香料。|
|7.  |4 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |00|乙酸松油腦酯 Terpinyl    |本品可於各類食品|限用為香料。|
|7.  |5 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |00|乙酸桂皮酯 Cinnamyl      |本品可於各類食品|限用為香料。|
|7.  |6 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |00|乙酸香葉草酯 Geranyl     |本品可於各類食品|限用為香料。|
|7.  |7 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |00|乙酸香茅酯 Citronellyl   |本品可於各類食品|限用為香料。|
|7.  |8 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |00|乙酸沈香油酯 Linalyl     |本品可於各類食品|限用為香料。|
|7.  |9 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |01|乙酸異戊酯 Isoamyl       |本品可於各類食品|限用為香料。|
|7.  |0 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |01|乙酸環己酯 Cyclohexyl    |本品可於各類食品|限用為香料。|
|7.  |1 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |01|乙酸l-薄荷酯 l-Menthyl   |本品可於各類食品|限用為香料。|
|7.  |2 |Acetate                  |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |01|乙基香莢蘭醛 Ethyl       |本品可於各類食品|限用為香料。|
|7.  |3 |Vanillin                 |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |01|乙醯乙酸乙酯 Ethyl       |本品可於各類食品|限用為香料。|
|7.  |4 |Aceto-acetate            |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |01|丁香醇 Eugenol           |本品可於各類食品|限用為香料。|
|7.  |5 |                         |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |01|丁酸 Butyric Acid        |本品可於各類食品|限用為香料。|
|7.  |6 |                         |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
|76. |01|丁酸乙酯 Ethyl Butyrate  |本品可於各類食品|限用為香料。|
|7.  |7 |                         |中視實際需要適量|            |
|22  |  |                         |使用。          |            |
