
第(十一)類  調味劑
|編 |品名                       |使用食品範圍及限量    |使用限制      |
|號 |                           |                      |              |
|003|L-天門冬酸鈉Monosodium     |本品可於各類食品中視實|限於食品製造或|
|   |L-Aspartate                |際需要適量使用        |加工必須時使用|
|004|反丁烯二酸                 |本品可於各類食品中視實|限於食品製造或|
|   |Fumaric Acid               |際需要適量使用        |加工必須時使用|
|005|反丁烯二酸一鈉 Monosodium  |本品可於各類食品中視實|限於食品製造或|
|   |Fumarate                   |際需要適量使用        |加工必須時使用|
|008|檸檬酸                     |本品可於各類食品中視實|限於食品製造或|
|   |Citric Acid                |際需要適量使用        |加工必須時使用|
|009|檸檬酸鈉                   |本品可於各類食品中視實|限於食品製造或|
|   |Sodium Citrate             |際需要適量使用        |加工必須時使用|
|010|琥珀酸                     |本品可於各類食品中視實|限於食品製造或|
|   |Succinic Acid              |際需要適量使用        |加工必須時使用|
|011|琥珀酸一鈉                 |本品可於各類食品中視實|限於食品製造或|
|   |Monosodium Succinate       |際需要適量使用        |加工必須時使用|
|012|琥珀酸二鈉                 |本品可於各類食品中視實|限於食品製造或|
|   |Disodium Succinate         |際需要適量使用        |加工必須時使用|
|013|L-麩酸                     |本品可於各類食品中視實|限於食品製造或|
|   |L-Glutamic Acid            |際需要適量使用        |加工必須時使用|
|014|L-麩酸鈉Monosodium         |本品可於各類食品中視實|限於食品製造或|
|   |L-Glutamate                |際需要適量使用        |加工必須時使用|
|015|酒石酸                     |本品可於各類食品中視實|限於食品製造或|
|   |Tartaric Acid              |際需要適量使用        |加工必須時使用|
|016|D&DL-酒石酸鈉              |本品可於各類食品中視實|限於食品製造或|
|   |D&DL-Sodium Tartrate       |際需要適量使用        |加工必須時使用|
|017|乳酸Lactic Acid            |本品可於各類食品中視實|限於食品製造或|
|   |                           |際需要適量使用        |加工必須時使用|
|018|乳酸鈉                     |本品可於各類食品中視實|限於食品製造或|
|   |Sodium Lactate             |際需要適量使用        |加工必須時使用|
|019|乳酸鈉液                   |本品可於各類食品中視實|限於食品製造或|
|   |Sodium Lactate Solution    |際需要適量使用        |加工必須時使用|
|020|醋酸                       |本品可於各類食品中視實|限於食品製造或|
|   |Acetic Acid                |際需要適量使用        |加工必須時使用|
|021|冰醋酸                     |本品可於各類食品中視實|限於食品製造或|
|   |Acetic Acid Glacial        |際需要適量使用        |加工必須時使用|
|022|DL-蘋果酸（羥基丁二酸）DL-M|本品可於各類食品中視實|限於食品製造或|
|   |alic Acid （Hydroxysuccinic|際需要適量使用。      |加工必須時使用|
|   |Acid）                     |                      |；嬰兒食品不得|
|   |                           |                      |使用。        |
|023|DL-蘋果酸鈉                |本品可於各類食品中視實|限於食品製造或|
|   |Sodium DL-Malate           |際需要適量使用。      |加工必須時使用|
|   |                           |                      |；嬰兒食品不得|
|   |                           |                      |使用。        |
|024|葡萄糖酸                   |本品可於各類食品中視實|限於食品製造或|
|   |Gluconic Acid              |際需要適量使用        |加工必須時使用|
|025|葡萄糖酸鈉                 |本品可於各類食品中視實|限於食品製造或|
|   |Sodium Gluconate           |際需要適量使用        |加工必須時使用|
|026|葡萄糖酸液                 |本品可於各類食品中視實|限於食品製造或|
|   |Gluconic Acid Solution     |際需要適量使用        |加工必須時使用|
|027|葡萄糖酸-δ內酯             |本品可於各類食品中視實|限於食品製造或|
|   |Glucono-δ-Lactone          |際需要適量使用        |加工必須時使用|
|028|胺基乙酸                   |本品可於各類食品中視實|限於食品製造或|
|   |Glycine                    |際需要適量使用        |加工必須時使用|
|029|DL-胺基丙酸                |本品可於各類食品中視實|限於食品製造或|
|   |DL-Alanine                 |際需要適量使用        |加工必須時使用|
|030|5’-次黃嘌呤核苷磷酸二鈉Sodi|本品可於各類食品中視實|限於食品製造或|
|   |um 5’-Inosinate            |際需要適量使用        |加工必須時使用|
|031|5’-鳥嘌呤核苷磷酸二鈉      |本品可於各類食品中視實|限於食品製造或|
|   |Sodium 5’-Guanylate        |際需要適量使用        |加工必須時使用|
|032|磷酸                       |本品可使用於可樂及茶類|限於食品製造或|
|   |Phosphoric Acid            |飲料；用量為0.6g/kg以 |加工必須時使用|
|   |                           |下。                  |              |
|036|氯化鉀                     |本品可於各類食品中視實|              |
|   |Potassium Chloride         |際需要適量使用        |              |
|037|檸檬酸鉀                   |本品可用於各類食品中視|              |
|   |Potassium Citrate          |實際需要適量使用。    |              |
|045|5’-核糖核苷酸鈣            |本品可於各種食品中視實|限於食品製造或|
|   |Calcium 5’-Ribonucleotide  |際需要適量使用。      |加工必須時使用|
|   |                           |                      |。            |
|052|咖啡因                     |本品可使用於飲料；用量|限作調味劑使用|
|   |Caffeine                   |以食品中咖啡因之總含量|              |
|   |                           |計為320mg/kg以下。    |              |
|059|茶胺酸                     |本品可於各類食品中；用|限作調味劑使用|
|   |L-Theanine                 |量為1 g/kg以下。      |              |
|備註：本表為正面表列，非表列之食品品項，不得使用該食品添加物。      |

